"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2012","57.87","61.00","61.10","56.60","160.01K","-5.90%"
"03/01/2012","61.50","58.75","62.40","56.63","176.40K","3.57%"
"02/01/2012","59.38","55.80","62.35","55.20","192.92K","5.56%"
"01/01/2012","56.25","53.75","60.75","51.55","172.72K","3.57%"
"12/01/2011","54.31","59.60","60.45","53.60","110.24K","-9.60%"
"11/01/2011","60.08","66.40","68.00","57.85","194.29K","-10.05%"
"10/01/2011","66.79","66.25","68.00","61.60","191.32K","0.44%"
"09/01/2011","66.50","68.06","69.25","57.40","190.95K","-2.29%"
"08/01/2011","68.06","51.95","70.50","48.90","149.62K","30.31%"
"07/01/2011","52.23","56.50","57.05","52.00","113.13K","-8.83%"
"06/01/2011","57.29","58.00","60.20","55.25","108.73K","-1.80%"
"05/01/2011","58.34","57.00","59.25","54.35","102.54K","0.78%"
"04/01/2011","57.89","64.50","64.75","55.00","107.00K","-9.63%"
"03/01/2011","64.06","55.10","65.95","54.70","152.40K","17.05%"
"02/01/2011","54.73","52.90","56.00","51.45","152.24K","3.93%"
"01/01/2011","52.66","59.00","59.00","52.25","141.82K","-13.77%"
"12/01/2010","61.07","55.25","62.70","55.25","128.28K","12.68%"
"11/01/2010","54.20","47.40","55.50","45.50","136.77K","13.84%"
"10/01/2010","47.61","48.00","48.80","45.40","125.28K","0.61%"
"09/01/2010","47.32","41.20","49.20","41.15","110.66K","13.12%"
"08/01/2010","41.83","39.85","43.00","36.90","102.40K","2.88%"
"07/01/2010","40.66","45.49","51.50","38.75","146.75K","-10.62%"
"06/01/2010","45.49","37.50","46.75","36.55","107.30K","24.19%"
"05/01/2010","36.63","36.00","43.25","35.60","137.17K","10.56%"
"04/01/2010","33.13","29.70","36.85","29.05","130.20K","11.51%"
"03/01/2010","29.71","31.55","31.90","28.35","115.61K","-5.20%"
"02/01/2010","31.34","36.25","37.30","31.27","120.49K","-19.16%"
"01/01/2010","38.77","37.00","41.75","32.50","130.38K","14.98%"
"12/01/2009","33.72","29.49","35.00","27.45","79.41K","14.03%"
"11/01/2009","29.57","36.80","36.90","27.15","110.10K","-19.67%"
"10/01/2009","36.81","32.00","38.90","30.50","113.09K","13.54%"
"09/01/2009","32.42","25.75","34.50","21.50","98.23K","24.21%"
"08/01/2009","26.10","21.50","26.90","18.20","56.40K","17.09%"
"07/01/2009","22.29","26.00","26.45","19.60","61.54K","-14.24%"
"06/01/2009","25.99","26.25","28.00","24.75","64.87K","-0.76%"
"05/01/2009","26.19","27.90","29.60","24.75","70.53K","-8.14%"
"04/01/2009","28.51","34.25","35.50","25.50","79.81K","-10.82%"
"03/01/2009","31.97","34.50","37.50","28.80","84.09K","-4.62%"
"02/01/2009","33.52","63.00","63.60","33.45","99.74K","-46.15%"
"01/01/2009","62.25","60.00","68.30","52.25","96.00K","6.36%"
"12/01/2008","58.53","58.75","65.50","53.00","48.59K","-4.00%"
"11/01/2008","60.97","75.75","77.90","58.00","56.60K","-19.89%"
"10/01/2008","76.11","81.75","84.00","66.00","64.65K","-10.73%"
"09/01/2008","85.26","78.25","87.00","71.10","49.39K","8.42%"
"08/01/2008","78.64","61.50","79.70","51.75","42.36K","26.35%"
"07/01/2008","62.24","72.80","72.80","54.75","42.71K","-15.09%"
"06/01/2008","73.30","65.00","73.64","64.40","34.94K","12.11%"
"05/01/2008","65.38","60.00","66.30","58.70","33.04K","7.92%"
"04/01/2008","60.58","57.70","67.00","57.60","44.91K","4.57%"
"03/01/2008","57.93","53.25","58.25","51.05","45.68K","8.20%"
"02/01/2008","53.54","50.30","55.00","47.00","57.81K","4.61%"
