"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2020","56.05","57.65","57.70","56.25","0.65K","-2.01%"
"09/01/2020","57.20","52.50","57.30","51.00","1.31K","8.13%"
"08/01/2020","52.90","51.75","52.75","49.30","0.51K","6.01%"
"07/01/2020","49.90","49.80","51.10","47.50","1.31K","0.10%"
"06/01/2020","49.85","42.00","50.00","42.00","1.40K","29.48%"
"05/01/2020","38.50","39.00","40.15","38.55","0.19K","-3.39%"
"04/01/2020","39.85","48.10","48.10","39.00","1.14K","-19.17%"
"03/01/2020","49.30","47.95","51.80","46.25","1.00K","3.14%"
"02/01/2020","47.80","47.80","50.40","47.40","0.84K","-5.06%"
"01/01/2020","50.35","52.75","53.40","50.35","1.70K","-5.00%"
"12/01/2019","53.00","57.25","57.25","52.65","0.31K","-6.03%"
"11/01/2019","56.40","56.25","56.90","54.75","0.35K","0.00%"
"10/01/2019","56.40","59.25","61.50","55.80","1.62K","-7.39%"
"09/01/2019","60.90","53.95","61.75","53.75","0.39K","10.73%"
"08/01/2019","55.00","58.00","58.50","55.75","0.57K","-5.01%"
"07/01/2019","57.90","50.75","59.50","50.40","1.78K","18.53%"
"06/01/2019","48.85","51.75","53.00","49.00","0.54K","-14.00%"
"05/01/2019","56.80","58.75","60.40","57.75","0.35K","-3.81%"
"04/01/2019","59.05","61.00","61.00","54.00","0.93K","-16.12%"
"03/01/2019","70.40","74.90","75.10","70.95","0.48K","-6.20%"
"02/01/2019","75.05","78.75","78.75","72.75","1.12K","-5.06%"
"01/01/2019","79.05","84.00","84.00","78.30","3.11K","-8.82%"
"12/01/2018","86.70","86.50","88.40","85.00","0.60K","-1.92%"
"11/01/2018","88.40","96.20","96.25","88.55","0.56K","-9.38%"
"10/01/2018","97.55","101.00","103.00","98.25","1.09K","-2.60%"
"09/01/2018","100.15","98.60","101.00","98.20","0.66K","2.30%"
"08/01/2018","97.90","95.00","98.50","94.00","1.26K","2.94%"
"07/01/2018","95.10","98.15","102.50","94.65","1.28K","-0.94%"
